Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/09/20,Stones’ Phones,,,,"41-750 Rancho Las Palmas Drive, Suite",Rancho Mirage,CA,92270,,All Other Expenditures,3488.74,"Phone services, live calls regarding campaign",General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/13/20,Tenacious Campaigns LLC,,,,Fox Farm Roads Rd,Missoula,MT,59802,,All Other Expenditures,19000.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/11/20,Trilogy Interactive,,,,2040 Bancroft Way Suite 202,Berkeley,CA,94704,,All Other Expenditures,8000.0,Digital Consulting Services,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/04/20,Trilogy Interactive,,,,2040 Bancroft Way Suite 202,Berkeley,CA,94704,,All Other Expenditures,10000.0,Digital Consulting Services,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/05/20,"Utrecht, Kleinfeld, Fiori, Partners ",,,,"1776 Eye Street NW, Tenth Floor",Washington DC,DC,20006,,All Other Expenditures,1165.0,Legal services: research on MT campaign compliance,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/20/20,"Veazey, Tara L",,,,523 E. 6th Ave,Helena,MT,59601,,All Other Expenditures,3254.0,Policy research and analysis for I-190,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/16/20,Bitterroot Law,,,,"PO Box 1312, 107 South 2nd St.",Hamilton,MT,59840,,All Other Expenditures,1805.0,Campaign finance compliance consulting,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/19/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for May,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/19/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,353.06,"Reimbursements for food ($60.29), mileage ($227.36), and supplies ($65.41). See addendum for details.",General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/19/20,Coldwater Group LLC,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for May,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/13/20,"Fieldworks, LLC",,,,"4005 Wisconsin Ave, NW Unit 9897",Washington DC,DC,20016,,All Other Expenditures,457407.02,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,04/29/20,"Fieldworks, LLC",,,,"4005 Wisconsin Ave, NW Unit 9897",Washington DC,DC,20016,,All Other Expenditures,412000.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/21/20,"Fieldworks, LLC",,,,"4005 Wisconsin Ave, NW Unit 9897",Washington DC,DC,20016,,All Other Expenditures,217351.76,Petition circulation and signature gathering (staff and overhead)	,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/13/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,Wire transfer fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/12/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,wire transfer fees,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/20/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/19/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,04/29/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,Wire transfer fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,04/28/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/23/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/21/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,40.0,wire transfer fees,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/09/20,"Gallik, Bremer and Molloy PC",,,,PO Box 70,Bozeman,MT,59771,,All Other Expenditures,5580.0,"Legal research, analysis, and advice on issues regarding CI-118 and I-190",General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/08/20,"Lewis, David M",,,,5871 Collins Dr.,Helena,MT,59601,,All Other Expenditures,1300.0,Campaign strategy and fiscal policy consulting for April,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/21/20,MontPIRG,,,,141 Corbin Hall,Missoula,MT,59812,,All Other Expenditures,86615.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/14/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.03,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/04/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.75,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/22/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.75,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/22/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.59,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/20/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.75,Donation processing fee	,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/20/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.03,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/20/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.59,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/17/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.45,Donation processing fee,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/20/20,Squarespace,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,2.71,Gsuite email account services,General,,,
New Approach Montana,04/26/2020 to 05/24/2020,C6,05/05/20,Squarespace,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,18.0,Gsuite email account services,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/09/20,Bitterroot Law,,,,"PO Box 1312, 107 South 2nd St.",Hamilton,MT,59840,,All Other Expenditures,5168.0,Campaign finance compliance consulting,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/22/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,157.18,Reimbursements (March 13 - April 13): $113.68 for mileage for trip to Bozeman; $43.50 for lunch meeting ,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/22/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for April,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/22/20,Coldwater Group LLC,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for April,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/25/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/18/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/18/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/10/20,"Lewis, David M",,,,5871 Collins Dr.,Helena,MT,59601,,All Other Expenditures,1800.0,Campaign strategy and fiscal policy consulting for March,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/18/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.59,Donation processing fee,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/17/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.75,Donation processing fee,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/09/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.36,Donation processing fee,General,,,
New Approach Montana,03/27/2020 to 04/25/2020,C6,04/03/20,Squarespace,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,18.0,Gsuite email services,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,10/22/19,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A ,Helena,MT,59601,,All Other Expenditures,15000.0,Campaign strategy and management consulting for October,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/19/19,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A ,Helena,MT,59601,,All Other Expenditures,1111.41,"Reimbursements (Oct. 1 - Nov. 12) for food ($114.61), mileage ($904.80), and PO Box ($92). See addendum for details. ",General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/19/19,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A ,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for November,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/18/19,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A ,Helena,MT,59601,,All Other Expenditures,1117.0,"Reimbursements (Nov. 20 - Dec. 10) for mileage ($1,038.48) and food ($78.52). See addendum for details. ",General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/19/19,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A ,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for December,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,03/18/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for March,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/25/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for February,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/24/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,1905.74,"Reimbursements (Jan 10 - Feb 11): $1,576.84 for mileage; $61.44 for printing and office supplies; $267.46 for food. See addendum for details. ",General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/05/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,494.36,Reimbursement for mileage (Dec. 12 - Jan. 3). See addendum for details. ,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/06/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for January,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,03/15/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,2325.95,"Reimbursements (Feb 13 - March 12): $1,663.44 for mileage; $30.65 for printing and office supplies; $631.86 for food. See addendum for details.",General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,10/22/19,ColdWater Group,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,15000.0,Campaign strategy and communications consulting for October,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/20/19,ColdWater Group,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for November,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/19/19,ColdWater Group,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for December,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/26/20,Coldwater Group LLC,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for February,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/06/20,Coldwater Group LLC,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for January,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,03/24/20,Coldwater Group LLC,,,,PO Box 106,Helena,MT,59624,,All Other Expenditures,10000.0,Campaign strategy and communications consulting for March,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/03/19,Facebook,,,,1 Hacker Way,Menlo Park,CA,94025,,All Other Expenditures,100.21,"Facebook ad/post boost, ""Like and share if you think MT should legalize, regulate, and tax marijuana""",General,Facebook,"Online post boost from Nov. 12 - Nov. 22, 2019","""Like and share if you think MT should legalize, regulate, and tax marijuana"""
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/01/20,Facebook,,,,1 Hacker Way,Menlo Park,CA,94025,,All Other Expenditures,34.22,"Facebook post, boosted 11/29/2019 - 12/08/2019, “Marijuana legalization could generate millions in tax revenue for MT”",General,Facebook,Boosting post from 11/29/2019 - 12/8/2019,Marijuana legalization will generate tax revenue for MT
New Approach Montana,10/02/2019 to 03/26/2020,C6,10/18/19,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/16/19,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/17/19,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/31/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/29/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/28/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,5.0,Overdraft Fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/25/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,5.0,Overdraft Fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/24/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,5.0,Overdraft Fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/23/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,5.0,Overdraft Fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/15/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,30.0,Overdraft Fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/20/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,10/31/19,Harland Clarke,,,,15955 La Cantera Parkway,San Antonio,TX,78256,,All Other Expenditures,31.52,Checks,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/10/20,"Lewis, David M",,,,5871 Collins Dr.,Helena,MT,59601,,All Other Expenditures,2100.0,Campaign strategy and fiscal policy consulting for January,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,03/16/20,"Lewis, David M",,,,5871 Collins Dr.,Helena,MT,59601,,All Other Expenditures,1700.0,Campaign strategy and fiscal policy consulting for February,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/18/19,"Lewis, David M.",,,,5871 Collins Dr.,Helena,MT,59601,,All Other Expenditures,900.0,Campaign strategy and fiscal policy consulting for November,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/13/20,"Lewis, David M.",,,,5871 Collins Dr.,Helena,MT,59601,,All Other Expenditures,1600.0,Campaign strategy and fiscal policy consulting for December,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,10/31/19,Montana Conservation Voters,,,,PO Box 63,Billings,MT,59103,,All Other Expenditures,1000.0,Sponsorship for coalition building,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/15/19,PayPal,,,,2221 N 1st St,San Jose,CA,95131,,All Other Expenditures,1.03,Donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/26/19,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.45,Online donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/22/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.75,Donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/16/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.03,Donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/16/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.03,Donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,03/03/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,0.45,Donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/12/20,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.03,Donation processing fee,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,03/04/20,Squarespace,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,18.0,Gsuite email services,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,01/11/20,Squarespace Inc.,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,69.64,Upgrade for website to business account,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/01/20,Squarespace Inc.,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,18.0,Gsuite email account services,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/10/19,Squarespace Inc. ,,,,225 Varick St. 12th Floor,New York City,NY,10014,,All Other Expenditures,6.0,Gsuite email services,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/01/19,"Squarespace, Inc.",,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,129.6,Website service subscription 1-year,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,11/01/19,"Squarespace, Inc.",,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,6.0,Gsuite email service,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/31/19,"Squarespace, Inc.",,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,18.0,Gsuite email services,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/13/19,"Squarespace, Inc.",,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,7.6,Gsuite email services,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,12/31/19,"Utrecht, Kleinfeld, Fiori, Partners",,,,"1776 Eye Street NW, Tenth Floor",Washington DC,DC,20006,,All Other Expenditures,1850.0,Legal services: research on MT campaign compliance,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/27/20,"Utrecht, Kleinfeld, Fiori, Partners",,,,"1776 Eye Street NW, Tenth Floor",Washington DC,DC,20006,,All Other Expenditures,1200.0,Legal services: research on MT campaign compliance,General,,,
New Approach Montana,10/02/2019 to 03/26/2020,C6,02/27/20,"Utrecht, Kleinfeld, Fiori, Partners",,,,"1776 Eye Street NW, Tenth Floor",Washington DC,DC,20006,,All Other Expenditures,2220.0,Legal services: research on MT campaign compliance,General,,,
New Approach PAC,05/25/2020 to 06/25/2020,C4,05/29/20,Dodd Blackford Carls PC,,,,602 W Lamme St,Bozeman,MT,59715,,All Other Expenditures,3422.9,"In-kind Contribution to Political Committee ""New Approach Montana"" for legal services/compliance",General,,,
New Approach PAC,05/25/2020 to 06/25/2020,C4,06/02/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,50000.0,Contribution to political committee,General,,,
New Approach PAC,04/26/2020 to 05/24/2020,C4,05/22/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,125000.0,Contribution to political committee,General,,,
New Approach PAC,04/26/2020 to 05/24/2020,C4,04/27/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,300000.0,Contribution to political committee,General,,,
New Approach PAC,04/26/2020 to 05/24/2020,C4,05/18/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,150000.0,Contribution to political committee,General,,,
New Approach PAC,04/26/2020 to 05/24/2020,C4,05/11/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,160000.0,Contribution to political committee,General,,,
New Approach PAC,03/26/2020 to 04/25/2020,C4,04/17/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,25000.0,Contribution to political committee,General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,12/31/19,Bitterroot Law,,,,PO Box 1312 ,Hamilton,MT,59840,,All Other Expenditures,399.0,"In-kind Contribution to Political Committee ""New Approach Montana"" for legal services/compliance",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,12/11/19,Bitterroot Law,,,,PO Box 1312 ,Hamilton,MT,59840,,All Other Expenditures,3838.0,"In-kind Contribution to Political Committee ""New Approach Montana"" for legal services/compliance",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,11/18/19,Bitterroot Law,,,,PO Box 1312 ,Hamilton,MT,59840,,All Other Expenditures,1064.0,"In-kind Contribution to Political Committee ""New Approach Montana"" for legal services/compliance",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,10/11/19,Bitterroot Law,,,,PO Box 1312 ,Hamilton,MT,59840,,All Other Expenditures,646.0,"In-kind Contribution to Political Committee ""New Approach Montana"" for legal services/compliance",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,09/05/19,Bitterroot Law,,,,PO Box 1312 ,Hamilton,MT,59840,,All Other Expenditures,1197.0,"In-kind Contribution to Political Committee ""New Approach Montana"" for legal services/compliance",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,12/11/19,Dodd Blackford & Carls P.C.,,,,602 W. Lamme St.,Bozeman,MT,59715,,All Other Expenditures,1620.0,"Inkind contribution to political committee ""New Approach Montana"" for compliance/accounting services",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,03/25/20,Dodd Blackford & Carls P.C.,,,,602 W. Lamme St.,Bozeman,MT,59715,,All Other Expenditures,1682.4,"Inkind contribution to political committee ""New Approach Montana"" for compliance/accounting services",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,01/07/20,Dodd Blackford & Carls P.C.,,,,602 W. Lamme St.,Bozeman,MT,59715,,All Other Expenditures,690.0,"Inkind contribution to political committee ""New Approach Montana"" for compliance/accounting services",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,02/19/20,Dodd Blackford & Carls P.C.,,,,602 W. Lamme St.,Bozeman,MT,59715,,All Other Expenditures,660.0,"Inkind contribution to political committee ""New Approach Montana"" for compliance/accounting services",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,08/09/19,Fairbank Maslin Maullin Metz,,,,1999 Harrison St,Oakland,CA,94612,,All Other Expenditures,34000.0,"Inkind contribution to political committee ""New Approach Montana"" for Polling/Research",General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,01/30/20,New Approach Montana,,,,PO Box 1108,Helena,MT,59624,,All Other Expenditures,5000.0,Contribution to political committee,General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,12/16/19,New Approach Montana,,,,PO Box 1108,Helena,MT,59624,,All Other Expenditures,20000.0,Contribution to political committee,General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,11/15/19,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,25000.0,Contribution to political committee,General,,,
New Approach PAC,03/02/2020 to 03/25/2020,C4,10/17/19,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,32000.0,Contribution to political committee,General,,,
North Fund,05/26/2020 to 06/25/2020,C4,06/23/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,7095.0,in-kind expenditure of web development and digital services,General,,,
North Fund,05/26/2020 to 06/25/2020,C4,06/19/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,300000.0,Contribution to committee,General,,,
North Fund,05/26/2020 to 06/25/2020,C4,06/04/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,100000.0,Contribution to committee,General,,,
North Fund,05/26/2020 to 06/25/2020,C4,05/29/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,125000.0,Contribution to committee,General,,,
North Fund,04/26/2020 to 05/25/2020,C4,05/19/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,160000.0,Contribution to committee,General,,,
North Fund,04/26/2020 to 05/25/2020,C4,05/11/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,160000.0,Contribution to committee,General,,,
North Fund,03/26/2020 to 04/25/2020,C4,04/17/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,15000.0,Contribution to committee,General,,,
North Fund,03/26/2020 to 04/25/2020,C4,04/23/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,300000.0,Contribution to committee,General,,,
North Fund,03/02/2020 to 03/25/2020,C4,02/19/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,62000.0,Contribution to committee,General,,,
North Fund,03/02/2020 to 03/25/2020,C4,01/24/20,New Approach Montana,,,,500 N. Last Chance Gulch #1108,Helena,MT,59601,,All Other Expenditures,20000.0,Contribution to committee,General,,,
Placer Motors Inc,06/25/2020 to 06/30/2020,C4,06/25/20,Montana Republican State Central Cmte,,,,PO Box 935,Helena,MT,59624,,All Other Expenditures,1000.0,Contribution,Primary,,,
