committee,cers_id,reports,type,amended_date,last_report,city,state,officer_1,officer_2,positions,2020_expenditures,num_2020_expenditures,2020_contributions,num_2020_contributions,cash_on_hand
Lewis & Clark County Republican Central Cmte.,285,22,Political Party,12/30/19,NA,Helena,MT,"Williams, Phoebe Kay","Mandeville, Steve","Support: To support Republican candidates for county, city, local, state or federal seeking public office.",16342.67,27,23152.5,63,15549.18
Central Valley Firefighters IAFF Local 4939,8148,4,Ballot Issue,03/04/20,NA,Belgrade,MT,"Davis, Mitch R",,Support: City of Belgrade annexation into Central Valley Fire District,3000.0,2,3000.0,1,0.0
Blackford Carls P.C.,8557,2,Incidental,03/27/20,NA,Bozeman,MT,"Carls, Hillary P.",,Other: PAC contribution,612.0,1,0.0,0,-612.0
Free & Fair Montana No on I-183,6933,8,Ballot Issue,08/21/18,NA,Helena,MT,"Rossi, SK","Spurzem, Carissa",Oppose: I-183,0.0,0,0.0,0,94677.9
Montanans for Wildlife & Public Land Access,5643,9,Ballot Issue,12/31/18,NA,Gildford,MT,"Buell, James M",,"Other: MWPLA will work legislatively to procur a CI which will elevate the status of hunting, fishing & trapping within the Montana Constitution",0.0,0,0.0,0,0.0
MHAPAC  (Montana Hospital Association),409,35,Independent,01/03/20,NA,Helena,MT,"Simonson, Vickey",,"Support: Jen Gross for SD 25, Support: Zach Brown for HD 63, Support: Bryce Bennett for SD 50, Support: Jon Knokey HD 69, Support: Jacob Bachmeier for HD28, Support: Joel Krautter for HD 35, Support: Denley Loge for HD 14, Support: Shane Morigeau for HD 95, Support: Denise Hayman for HD 66, Support: Mary Caferro HD 81, Support: Brad Hamlett for HD 23, Support: Mike Cuffe for SD 1, Support: Walt Sales for SD 35, Support: Kim Abbott for HD 83, Support: Frank Garner – HD 7, Support: Geraldine Custer for HD39, Support: Bruce Grubbs for House District 68, Support: Nate McConnell SD 48, Support: Sharon Stewart-Peregoy HD 42, Support: Mark Sweeney for HD 77, Support: Adam Hertz HD 96, Support: Bridgette Smith HD 31, Support: David Bedey for Montana HD 86, Support: Jim Hamilton HD 61, Other: Purpose: To support or oppose issues and candidates for legislative, statewide, or other public office on which the PAC agrees.  Candidates and issues may change from time to time., Support: Nancy Ballance for SD 44, Support: Kathy Kelker HD 47, Support: Tom Welch HD72, Support: Fred Anderson for HD20, Support: Ed Buttrey for HD 21, Support: Vince Ricci for HD 55, Support: Eric Moore for HD 37, Support: Ross Fitzgerald HD 17, Support: Llew Jones for HD 18, Support: Marilyn Ryan HD 99, Support: Terry Gauthier for SD40, Support: Sharon Greef for Montana HD 88, Support: Mike Hopkins for HD 92, Support: Steve Fitzpatrick for SD 10, Support: Jim Keane – HD 73, Support: Julie Dooling for HD 70, Support: Laurie Bishop for HD 60, Support: Zac Perry HD 3",60429.13,72,70384.95,321,27173.57
Chouteau County Republican Central Cmte.,237,22,Political Party,03/23/19,NA,Big Sandy,MT,"Jespersen, Karen",,"Support: Elsie Arntzen, Support: Ryan Zinke, Support: Jim O'hara , Support: Montana GOP Victory Campaign , Modify: Corey Stapleton, Support: Bruce Meyers, Support: Matt Rosendale for US Senate, Support: Tim Fox , Support: Clay Riehl , Support: Donald  Trump for US President, Support: Greg Gianforte for Congress",5945.66,13,8422.0,57,5882.1
Teton County Republican Central Committee,3993,18,Political Party,10/25/18,NA,Choteau,MT,"Baker, Vicki","Jenson, MarSue","Support: Richard ""Dick"" Snellman for Teton County Commissioner, Support: All Republican Candidates for Public Office on the local, state and national levels., Support: Ross Fitzgerald for HD 17, Support: Greg for Montana, Support: Bruce ""Butch"" Gillespie, SD09",4040.64,18,8900.0,92,19417.38
Richland County Republican Central Cmte.,318,17,Political Party,09/09/19,NA,Sidney,MT,"Young, Jacklyn R",,,13681.31,29,6624.28,90,11481.77
Montana State University Alumni Foundation ,7446,6,Incidental,07/03/18,NA,Bozeman,MT,"Kinnear, Melissa",,"Support: LR-128 SB85, Support: Higher Education issues 2019 Legislative Session",4438.27,4,0.0,0,-23909.78
Yes for fire safety,6962,4,Ballot Issue,09/05/18,NA,Helena ,MT,"Koeppen , Owen ",,Support: Fire Mill Levy,0.0,0,0.0,0,624.48
Paoli Law Firm PC,5023,15,Incidental,01/26/18,NA,Missoula,MT,"Paoli, David R.","Taylor, Mary C","Other: Contributions are not earmarked for any specific candidates or ballot issues., Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system.",0.0,0,0.0,0,-65628.85
Montana Native Vote Action Fund ,7610,7,Independent,03/30/20,NA,Billings,MT,"Hill, Krystal F","Lucas, Anna",,198.0,2,0.0,0,40839.76
East Helena School District #9,6354,2,Incidental,07/05/17,NA,East Helena,MT,"Whitmoyer, Ron",,Other: All activities were purely informational. No support or oppostion was given,0.0,0,0.0,0,-6123.79
Montana Conservation Voters Action Fund,402,37,Independent,06/01/20,NA,Billings,MT,"Ericsson, Sally","Murphy, Aaron","Support: Tom Woods, MT Public Service Commission District 3, Support: Monica Tranel MT Public Service Commission District 4, Support: HD Dave Fern 4, Jamie Horn 21, Barbara Bessette 24, Helena Lovick 26, Jessica Karjala 48, Anne Guiliano 51, Support: Supports candidates for local legislative and statewide office who support conservation values. , Support: Bryce Bennett MT Secretary of State, Support: Shane Morigeau MT Auditor, Support: Melissa Romano MT Superintendent of Public Instruction, Support: HD Hannah Olsen 52, Ed Staffman 62, Alice Buckley 63, Kelly Kortum 65, Collette Campell 67, Kim Abott 83, Lisa Pavlock 93, Danny Tenebaum 95, Willis Curdy 98, Mark Thane 99, Support: Raph Graybill MT Attorney General, Support: SD Chris Pope 31",9593.43,9,95443.4,43,45191.33
NATIONAL ASSOCIATION OF REALTORS FUND,7555,3,Incidental,09/19/18,NA,CHICAGO,IL,"HERRING, III, JOHN T","PIERPOINT, JOHN",Other: Purpose of Committee is to make contributions and expenditures in Montana elections.  We are not supporting or opposing any particular candidate or ballot issue.  Election date is 11/6/18. ,0.0,0,21000.0,2,0.0
Tri-County Beverage Hospitality PAC,1894,9,Independent,06/26/20,NA,Helena,MT,"Morris, Ron J","Morris, Steve",,0.0,0,-155.0,12,11158.0
BCBSMT For a Healthy Montana ,7060,1,Incidental,04/20/18,NA,Helena,MT,"Doran, John ","Wicks, Kali",Support: Contribution or expenditures made to support I-185 on the 2018 Ballot,0.0,0,0.0,0,-8045.25
Big Horn County Republican Central Cmte.,225,8,Political Party,03/12/20,NA,Hardin,MT,"Barnette, JoAnn","Nissley, Karen","Support: Matt Rosendale for State Auditor, Support: Promote Republican candidates locally, state-wide and nationaly, Support: Steve Daines, Support: Ryan Zinke - US Congress, Support: Corey Stapleton for Secretary of State, Support: Jason Small for SD 21, Support: Elsie Arntzen for OPI",0.0,0,0.0,0,2624.87
Caron Corporation,9009,1,Incidental,06/30/20,NA,Missoula,MT,"Laslovich, Jesse",,Support: MHAPAC Contribution,0.0,0,5000.0,1,5000.0
Sibanye Stillwater,7306,11,Incidental,03/08/19,NA,Columbus,MT,"Wolfe, Matthew","Weimer, Randy",Oppose: Initiative 186,0.0,0,0.0,0,-704000.0
LIUNA Local 1686 PAC,1911,21,Independent,05/26/20,NA,Helena,MT,"Smeltzer, Warren","Rickard, Kimberly","Support: Merlin Husso HD 70, Support: Larry Jent - Attorney General, Support: Melissa Romano - State Superintendent, Support: Jessie Laslovich for State Auditor, Support: Monica Lindeen Secretary Of State, Support: Amanda Curtis House District 74, Support: Jessica Karjala for HD 48",770.0,7,2195.0,15,3380.48
Bidegarary Law Firm,5546,9,Incidental,11/28/16,NA,Bozeman,MT,"Bidegaray, Daniel","Taylor, Mary","Other: Contributions are not earmarked for any specific candidates or ballot issues., Support: Dirk Sandefur - Supreme Court, Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system.",0.0,0,0.0,0,-7500.0
Southeastern Montana Democratic Association,6415,1,Political Party,10/17/17,NA,Miles City,MT,"Mischel, Pat",,"Support: Our mission is to elect Democratic candidates in Southeastern MT communities, host speakers and educate, network, have structure that supports rural Democrats",0.0,0,0.0,0,208.5
MTCARES (Montana Community Affordable Renewable Energy Saves),8252,5,Ballot Issue,01/03/20,NA,Dillon,MT,"Mosolf, Mike",,Support: I-187,10891.09,19,31628.31,108,1497.29
"American Federation of Teachers, AFL-CIO",6930,4,Incidental,10/04/18,NA,WASHINGTON,DC,"Johnson, Lorretta",,Support: 6 mill levy ballot issue,0.0,0,0.0,0,-300000.0
The Approve the Cold Springs Move Committee,5869,3,Ballot Issue,11/10/16,NA,Missoula,MT,"Doucette, Matt",,Support: School District 1 Site-Selection Election,0.0,0,0.0,0,0.0
Literacy Bitterroot,7507,3,Incidental,12/11/18,NA,Hamilton,MT,"Stark, Dixie S",,Support: Ravalli County Levy to Support Adult Literacy,0.0,0,0.0,0,-4159.39
Lewis and Clark County Young Republicans,7048,4,Political Party,11/27/18,NA,Helena,MT,"Phillips, David","Giacomini, Nicole","Other: To develop and maintain and Young Republican organization in Lewis & Clark County., Other: To provide members with opportunities to learn about the politicval process and political issues., Other: To bring young people into the Republican Party., Other: To provide members with oppotunities to become involved in and contribute to the development and advancement of the Republican Party within Lewis and Clark County, Montana, and the United States., Other: To provide members with opportunities for political expression and recognition.",0.0,0,0.0,0,50.0
Nico Electronic SYstems Inc.,6857,1,Incidental,12/05/17,NA,Helena,MT,"Nichoff, Bill",,Support: YES for Helena's Future,0.0,0,0.0,0,-100.0
Teton County Democratic Central Cmte.,336,6,Political Party,10/09/19,NA,Choteau,MT,"Martin, Corlene",,"Support: Barbara Bassett for HD 24, Support: General Election, Support: Kaercher for PSC, Support: Andy Shirtliff for PSC # 5, Support: Rick Kerr HD 19, Support: Jon Tester for US Senate, Support: Rex Renk for Clerk of the Supreme Court, Support: Kurt Dyer  SD 9",0.0,0,0.0,0,403.18
Great Falls Clinic Hospital,6885,11,Incidental,05/14/18,NA,Great Falls,MT,"Newmiller, Vicki",,,0.0,0,0.0,0,-3500.0
Sandfire America,7303,11,Incidental,03/08/19,NA,White Sulphur Springs,MT,"Schlepp, Nancy",,Oppose: I-186,0.0,0,0.0,0,-1024103.36
MTCARES (Montana Community Affordable Renewable Energy Saves),4792,15,Ballot Issue,11/21/16,NA,Billings,MT,"Ellis, Pamela O",,Support: I-11 mitigate the effects of global warming by reducing the amount of C02 released when generating electricity.,0.0,0,0.0,0,220.0
Great Falls Education Association,6305,1,Independent,01/30/18,NA,Great Falls,MT,"Olson, Stephanie",,,0.0,0,0.0,0,-568.2
MMA I-185 Incidental Committee,7056,10,Incidental,12/04/18,NA,Helena,MT,"Branscum, Jean",,Other: I-185,0.0,0,0.0,0,-36792.02
New Approach Montana,8056,4,Ballot Issue,01/13/20,NA,Helena,MT,"Blackford, Sherine D",,Support: Ballot Initiative to legalize recreational marijuana. ,1988251.31,139,2305895.85,63,231215.77
Beach Transportation,4816,2,Incidental,05/19/16,NA,Missoula,MT,"Beach, Greg",,Support: Invest In Missoula Schools,0.0,0,0.0,0,-12000.0
MPEA Employees Political Informational Committee,431,10,Independent,02/09/16,NA,Helena,MT,"Schneider, Thomas E.",,Other: Support or Oppose Candidates of Ballot Issues of Interest to the members of the Montana Public Employees Assn. ,0.0,0,0.0,0,4875.76
Forward Montana,4579,3,Incidental,03/08/16,NA,Missoula,MT,"Lombardi, Deb","Booker, Kayje","Other: Informational Voter Guides in Gallatin, Yellowstone and Missoula Counties for City Council Races, Support: MCPS High School and Elementary School Bonds",0.0,0,0.0,0,-13411.55
Montana Business PAC,2997,24,Independent,12/11/19,NA,Helena,MT,"O'Hair, Todd","Mahlum, Bridger L","Support: Connell-SD43, Garner-HD7, Buttrey-HD21, Loge-HD14, Grubbs-HD68, Fitzgerald-HD17, and McKamey-HD19 for state legislature, Support: Contribute to the Montana Chamber of Commerce's Montana Business PAC to support pro-business candidates",0.0,0,78465.72,10,15295.53
Shodair Children's Hospital Incidental Committee,7061,7,Incidental,11/19/18,NA,Helena,MT,"Isaacson, Emily","Ron , Wiens",Support: I-185,0.0,0,0.0,0,-643132.81
National Education Association,5885,3,Incidental,11/15/16,NA,Washington,DC,"McPherson, Michael",,Oppose: I-181,0.0,0,0.0,0,-728291.69
Montana United,7987,5,Independent,05/31/20,NA,Helena,MT,"Redding, Edward J","Wenetta, Katie","Support: Austin Knudsen for Attorney General, Support: To Support Conservative Candidates and Causes, Oppose: Jon Bennion for Attorney General",8421.53,9,15350.0,10,4247.19
Mid Test,3397,1,Independent,09/24/14,NA,Missoula,MT,"Trujillo, Kym",,,0.0,0,0.0,0,-3327.38
League of Women Voters Education Fund,8535,4,Incidental,03/26/20,NA,Washington,DC,"Spatz, Tracy",,Education: Non-Partisan Voter Education,586.64,4,0.0,0,-586.64
Sweet Grass County Republican Central Committee,5898,3,Political Party,10/11/16,NA,Big Timber,MT,"Faw, Judy",,,0.0,0,0.0,0,5553.14
Committee to Organize a Community College and Pass a Supporting Mill Levy,8163,2,Ballot Issue,06/08/20,NA,Hamilton,MT,"Stark, Dixie",,Support: Organize Community College,21865.86,21,19267.49,19,0.0
Medefis Consultant,7398,1,Incidental,06/05/18,NA,Omaha,NE,"Luther, Jessie",,Other: contribution to MHA PAC,0.0,0,0.0,0,-450.0
MDA 99 Club ,7057,2,Incidental,06/05/18,NA,Helena,MT,"Hemion, David R",,Support: to support I-185 on 2018 ballot,0.0,0,0.0,0,-2000.0
Planned Parenthood Action Fund - Incidental Committee for I-185,7811,1,Incidental,10/23/18,NA,Washington,DC,"Terrill, Laura",,Support: I-185,0.0,0,0.0,0,-1219.09
Montana Teachers for Student Safety ,8349,4,Independent,05/06/20,NA,Kalispell,MT,"Regier, Matt",,"Support: Support Noland for HD10, Support: Support DeVries for HD 75, Support: Support Binkley for HD85, Support: Support Schillinger for HD 37 , Support: Support Carlson HD69",6678.79,7,6800.0,5,121.21
Central Montana Progressive Political Action Committee,8047,5,Independent,04/24/20,NA,Great Falls,MT,"Schoyen, Elaine","Carroll, Pamela S","Support: Mike Cooney, Support: Steve Bullock, Support: Advocate in local and state elections for public officials, as well as for ballot measures, including local mill levies and bond issues, Support: Kathleen Williams for House of Representatives, Support: Raph Graybill, Support: Raph Graybill",33.04,6,5010.09,56,4789.15
"TGC, Inc.",5467,1,Incidental,05/20/16,NA,Billings,MT,"Bottrell, Teresa",,Support: Yes for Kids Billings Public Schools Levy,0.0,0,0.0,0,-2500.0
Safe Montana,5375,12,Ballot Issue,10/21/16,NA,Billings,MT,"Zabawa, Stephen",,Support: Support I-176,0.0,0,0.0,0,33322.91
Forward Montana Foundation,4778,1,Incidental,11/20/15,NA,Missoula,MT,"Booker, Kayje",,Support: Missoula Public School Bonds,0.0,0,0.0,0,-2664.9
Test Ballot Issue Committee,3015,1,Ballot Issue,01/13/14,NA,Helena,MT,"Test, Kym","Baker, Mary",Oppose: I-123,0.0,0,0.0,0,0.0
Consulting Engineers Council of Montana / American Council of Engineering Companies of MT,8933,1,Incidental,06/03/20,NA,Helena,MT,"Skoog, Jay K",,Support: Contribution to For Our Roads - Missoula gas tax,5000.0,2,0.0,0,-5000.0
Treasure State Conservatives,8534,3,Independent,04/08/20,NA,Missoula,MT,"Bartlett, Edward","Hobbs, Cabell",Support: Jon Bennion for Attorney General,32320.4,29,35950.75,13,13287.32
Montana Budget and Policy Center,7362,10,Incidental,11/20/18,NA,Helena,MT,"fisher, hannah",,Support: I-185 on 2018 ballot,0.0,0,0.0,0,-82547.84
"Lynch Flying Service, Inc. dba Edwards Jet Center",5585,1,Incidental,06/21/16,NA,Billings,MT,"Robb, Bergeson",,Support: Yes for Kids Billings Public Schools Levy,0.0,0,0.0,0,-5000.0
Daniels County Republican Central Cmte,242,1,Political Party,06/03/05,NA,Scobey,MT,"Marlenee, Patricia",,,0.0,0,0.0,0,0.0
DRAE's Station Casino,8135,1,Incidental,12/29/19,NA,Helena,MT,"Wenetta, Katie",,Support: Support Montana First Action,500.0,1,0.0,0,-500.0
Pondera County Republican Central Cmte.,309,13,Political Party,04/11/18,NA,Conrad,MT,"Hoppes, Janice",,Support: Support all Republican candidates for State local races,769.6,6,2195.0,8,10300.07
Helena Education Assn PAC for Education,379,4,Independent,08/20/18,NA,Helena,MT,"Shawn, Jane",,Support: Melissa Romano State Superintendent,0.0,0,0.0,0,2038.28
Lincolns for Levies ,7958,1,Ballot Issue,05/21/19,NA,Bozeman,MT,"Tage, Wendy",,"Support: Elementary General Fund Levy, Support: Elementary Building Reserve Levy ",746.78,1,2013.86,1,1267.08
"First West, Inc.",5644,1,Incidental,07/22/16,NA,Bozeman,MT,"Deming, Richard",,Support: Support County Law & Justice Center,0.0,0,0.0,0,-2500.0
Test PAC for C7E,6098,1,Independent,10/18/16,NA,asdfasf,MT,"asdfasd, sdafsad",,,0.0,0,0.0,0,-1000.0
National Federation of Independent Business Montana Political Action Committee,912,20,Independent,01/28/19,NA,Washington,DC,"Maloney, Michael","Smith, Jeff",Support: Support candidates for election to state office that support issues important to the small business community,0.0,0,0.0,0,0.0
Community Medical Center Incidental Committee,7059,1,Incidental,09/26/18,NA,Helena,MT,"French, Dean",,Support: Initiative to increase tobacco tax,0.0,0,0.0,0,-250500.55
Power Townsend,6853,1,Incidental,11/30/17,NA,Helena,MT,"Wall, Michael A.",,Support: YES for Helena's Future,0.0,0,0.0,0,-250.0
Tobacco-Free Kids Action Fund ,7525,7,Incidental,04/17/19,NA,Washington ,DC,"Pearson , C.B.",,"Support: ""Support I-185""",0.0,0,0.0,0,-6245.51
Montanans for Locker Room Privacy,6373,9,Ballot Issue,07/05/18,NA,Laurel,MT,"Barber, Shainne","Laszloffy, Jeff",Support: Montana Locker Room Privacy Act Ballot Initiative,0.0,0,0.0,0,205.0
Montana Agriculture PAC,5628,14,Independent,10/19/18,NA,Helena,MT,"Bodner, Jay",,"Support: Sales Walt  HD , Support: McKamey Wendy HD 19, Support: Moore Frederick ""Eric""  HD 37, Support: Cuffe Mike  SD 01, Support: Bogner Kenneth SD 19, Support: Reynolds Chase  SD 49, Support: Read Joe HD 93, Support: Loge Denley HD 14, Support: Noland Mark  HD 10, Support: Fitzgerald Ross H HD 17, Support: McGillvray  Tom SD 24, Support: Pierson Jr, Gordon  HD 78, Support: Hoven Brian SD 13, Support: Sheldon- Galloway Lola  HD 22, Support: Keane Jim HD73, Support: Bartel Dan HD 29, Support: Patrick Connell for SD 43, Support: Shaw Ray L HD 71, Support: Holmlund Kenneth HD 38, Support: Hertz Greg HD 12, Support: Galt E. Wylie  HD 30, Support: Mary Caferro HD 81, Support: Garner Frank HD 07, Support: Vance Gordon SD 34, Support: Burnett Tom HD 67, Support: Esp John SD 30, Support: Beard Becky HD 80, Support: White Kerry E  HD 64, Support: Bruce ""Butch"" Gillespie, SD09, Support: Cohenour Jill SD 42, Support: Kary Douglas SD 22, Support: Hinkle Jedediah SD 32, Support: Pomnichowski Jennifer SD 33, Support: Blasdel Mark W  SD 04, Support: Brown Zach HD 63, Support: Ankney Duane SD 20, Support: Usher Barry HD 40, Support: Mercer BIll HD 46, Support: Gillespie Bruce ""Butch""  SD 09, Support: Custer Geraldine HD 39, Support: Gunderson Steve HD 01, Support: Jones Llew  HD 18, Support: Dooling Julie  HD 70, Support: Redfield Alan, HD 59, Support: Moore David HD 89, Support: Berglee Seth HD 58, Support: Buttrey Ed, HD 21, Support: Julie Dooling for HD 70, Support: Lenz Dennis HD 53, Support: Welch Tom  HD 72, Support: Temple Russel SD 14, Support: Ballance Nancy HD87, Support: Anderson Fred HD20, Support: Grubbs Bruce HD 68, Support: Lynch Rayn HD 76",4904.17,24,14390.0,49,12391.99
Meagher County Republican Central Cmte.,297,14,Political Party,03/22/16,NA,Martinsdale,MT,"Galt, Sharrie K.",,,11.4,17,0.0,0,249.32
Lewis & Clark County Democratic Action Club,284,8,Political Party,01/29/18,NA,Helena,MT,"Zieler, Dennis A","Clinard, Jan L",,0.0,0,0.0,0,2062.93
Marsy's Law for Montana LLC,5181,14,Ballot Issue,03/10/17,NA,Aliso Veijo,CA,"Denowh, Charles","Hastie, Chrissie",Support: To assist in the efforts to provide equal rights for victims of crime in the state of Montana	,0.0,0,0.0,0,0.0
Gallatin River Task Force,7264,3,Incidental,05/10/18,NA,Big Sky,MT,"Gardner, Kristin K",,Support: I-186,0.0,0,0.0,0,-473.6
MONTANA TRAPPERS ASSOCIATION,5648,9,Incidental,03/10/17,NA,OVANDO,MT,"SHEPPARD, TERRY J",,Oppose: I-177,0.0,0,0.0,0,-221570.0
Lincoln County Republican Central Cmte.,292,11,Political Party,04/09/18,NA,Eureka,MT,"Cuffe, JoAn H",,"Support: Voter educaton an d candidate support, Support: Voter Education and Candidate Support, Support: Corey Stapleton for Secretary of State, Support: Elsie Arntzen -State Superintendent",0.0,0,0.0,0,1438.87
Montana Environmental Information Center,7180,10,Incidental,11/20/18,NA,Helena,MT,"McLane, Adam",,Support: I-186,0.0,0,0.0,0,-38110.37
Montana Green Party,1397,2,Political Party,05/11/18,NA,Missoula,MT,"Wolfe, Cheryl","Hoving, Harry C",,0.0,0,0.0,0,1416.23
Coldwater Group,8099,1,Incidental,10/15/19,NA,Helena,MT,"Petersen, Pepper",,,0.0,0,6000.0,1,0.0
AFSCME PEOPLE,358,35,Federal Action,01/20/16,NA,Washington,DC,"McBride, Elissa",,Support: Support Worker Friendly Candidates,0.0,0,0.0,0,0.0
Carey Law Firm,5654,6,Incidental,11/28/16,NA,Missoula,MT,"Carey, Steven","Taylor, Mary","Other: Contributions are not earmarked for any specific candidates or ballot issues. , Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system., Support: Dirk Sandefur - Supreme Court",0.0,0,0.0,0,-10000.0
Montana Republican State Central Cmte.,357,32,Political Party,07/08/20,NA,Helena,MT,"Hopkins, Mike A","Nordwick, Suzzann",,213196.88,25,279742.39,581,129727.32
Kalispell Chamber of Commerce (Flathead County Initiative 17-01),7099,1,Incidental,06/08/18,NA,Kalispell,MT,"Unterreiner, Joe",,Oppose: Flathead County Initiative No. 17-01,0.0,0,0.0,0,-300.0
Sixteen Thirty Fund,8347,1,Incidental,03/05/20,NA,Washington,DC,"Freed, Dara",,"Support: CI-118: amends the Montana Constitution to allow the legislature or the people by initiative to establish the legal age for purchasing, consuming, or possessing marijuana.",22176.0,8,0.0,0,-22176.0
Farmers Employee And Agent Pac Of Montana,2630,30,Independent,12/17/19,NA,Woodland Hills,CA,"Baker, Derrick","Smith, David S",,1760.0,8,6975.75,76,19363.69
Hill County Republican Central Cmte.,5193,13,Political Party,03/25/20,NA,Havre,MT,"Salerno, Barbara A",,,4577.67,14,7672.0,72,8009.74
Washington Corporations,6350,2,Incidental,08/23/18,NA,Missoula,MT,"Halligan, Mike",,Support: 6 mill levy campaign - Montanans for Higher Education,0.0,0,0.0,0,0.0
NARAL Pro-Choice Montana PAC,414,11,Independent,06/24/20,NA,Helena,MT,"James, Alison","Griffith, Nikolas","Support: Mary Caferro HD 81, Support: Kimberly Dudik for HD 94, Support: Staci Bechard for HD 25, Support: Connie Keogh, Support: Emma Kerr-Carpenter, Support: Jasmine Krotkov for HD 25, Support: Alex Grey, Support: Support Pro-Choice Candidates and Various Issues, Support: Amelia Marquez , Support: Nancy De Pastino",0.0,0,0.0,0,1590.77
Mosaic Architecture,6858,1,Incidental,12/05/17,NA,Helena,MT,"Tintinger, Bennett P.",,Support: YES for Helena's Future,0.0,0,0.0,0,-1000.0
Lake County Republican Women,7281,1,Political Party,02/03/20,NA,Polson,MT,"Lake, Susan M",,,0.0,0,0.0,0,3129.34
Conner & Marr,5727,2,Incidental,08/14/17,NA,Great Falls,MT,"Marr, Keith","Taylor, Mary","Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system, Support: Dirk Sandefur - Supreme Court, Other: Contributions are not earmarked for any specific candidates or ballot issues. ",0.0,0,0.0,0,-10000.0
Conduent Business Services LLC,7858,2,Incidental,11/20/18,NA,Washington,DC,"Adami, Ken","Donalty, Tanya",Support: Montana I-185,0.0,0,0.0,0,-5000.0
"American Federation of Teachers, AFL-CIO Committee on Political Education (COPE)",7430,2,Incidental,06/28/18,NA,Washington,DC,"Stephanie, Hamilton",,,0.0,0,0.0,0,-30000.0
Madison County Democratic Central Cmte,6950,12,Political Party,08/26/19,NA,Ennis,MT,"Frey, James C",,,2270.55,18,8137.85,126,9650.68
Montanans for Trap Free Public Lands - Safe Public Lands for All Users,4458,14,Ballot Issue,11/23/16,NA,Missoula,MT,"Leaphart, William ""Bill""","Helding, Linda",Support: To pass a ballot initiative restricting trapping on public lands,0.0,0,0.0,0,0.0
William B Ellis Republican Trust,440,10,Independent,06/30/20,NA,Great Falls,MT,"Briggs, Joseph",,,0.0,0,0.0,0,6483.37
Montana Police Protective Assn PAC,3057,10,Independent,05/31/20,NA,Billings,MT,"Conrad, Scott",,"Support: Mary McNally - SD 24, Support: Support Candidates and Issues in 2014 Election cycle.",0.0,0,0.0,0,220.2
The Orvis Company,7600,3,Incidental,10/22/18,NA,Sunderland,VT,"Pohlman, Michael James",,Support: I-186,0.0,0,0.0,0,-13614.96
AHA for Healthy Montana,7062,11,Incidental,11/19/18,NA,Billings,MT,"Cahill, Amanda",,Support: Contribution(s) made to support I-185 on the 2018 ballot,0.0,0,0.0,0,-38820.72
Bechtold Law Firm PLLC,5025,27,Incidental,01/24/18,NA,Missoula,MT,"Bechtold, Timothy M.","Taylor, Mary C","Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system., Other: Contributions are not earmarked for any specific candidates or ballot issues.",7500.0,1,0.0,0,-22500.0
Park County Democratic Central Cmte.,304,1,Political Party,01/31/16,NA,Livingston,MT,"Sweaney, Jim N",,,0.0,0,0.0,0,4156.84
Montana Sportsmen Alliance PAC ,2690,22,Independent,11/01/16,NA,Hamilton,MT,"Wood, Robert S",,Support: Find and support stte candidates that are supportive of Cconservationists sportsman in Montana,600.52,14,0.0,0,1692.41
Sheridan Memorial Hospital Association Incidental Committee,7572,1,Incidental,09/27/18,NA,Plentywood,MT,"Maurer, Greg L",,Other: contribution to MHA PAC,0.0,0,0.0,0,-500.0
Montana Teachers for Student Safety (disband),8124,1,Incidental,02/27/20,NA,Kalispell,MT,"Regier, Matt K",,,0.0,0,200.0,2,200.0
4J's Casino,8137,1,Incidental,12/29/19,NA,Helena,MT,"Wenetta, Katie",,Support: Support Montana First Action,500.0,1,0.0,0,-500.0
Pondera Medical Center Incidental Committee,6975,1,Incidental,04/03/18,NA,Conrad,MT,"O'Leary, William",,Support: Contribution made to support ballot initiative to increase tobacco taxes to support health care programs,0.0,0,0.0,0,-1000.0
Beaverhead County Democrats,5464,21,Political Party,03/08/18,NA,Dillon,MT,"Roscoe, James",,,486.0,5,100.0,1,392.63
Libby Education Assn. PAC,388,4,Independent,08/18/16,NA,Libby,MT,"Farmer, Lacie  K",,,0.0,0,0.0,0,0.0
"Davis Business Machines, Inc.",6852,1,Incidental,11/30/17,NA,Helena,MT,"Davis, Loren W.",,Support: YES for Helena's Future,0.0,0,0.0,0,-200.0
Sanders County Conservatives,2623,11,Independent,05/09/18,NA,Plains,MT,"Bursell, Patricia A",,"Support: Recruit and support qualified, non-partisan candidates in county elections. Support partisan state and national candidates, ballot issues if worthy",0.0,0,0.0,0,0.0
Benefis Health System Incidental Committee for I-185,7005,10,Incidental,11/19/18,NA,Great Falls,MT,"Ehlinger, Forrest","Luther, Jessie",Support: contribution made in support of  I-185,0.0,0,0.0,0,-359830.12
City of Bozeman,8156,4,Incidental - Local Government,05/22/20,NA,Bozeman,MT,"Donald, Kristin",,Education: Inform public of impact of passage or failure of Parks & Trails Special District on City operations.,9055.11,5,5418.99,3,-9055.11
Trout Unlimited,6966,9,Incidental,11/20/18,NA,Bozeman,MT,"Cooney, Colin T","Reed, Tom E",,0.0,0,0.0,0,-830136.45
